0.00-23.00 press up
44.60 steer -44448
44.61 steer -45175
44.62 steer -45434
44.63 steer -45629
44.64 steer -45909
44.65 steer -46007
44.69 steer -45572
44.70 steer -44828
44.71 steer -44484
44.72 steer -44051
44.73 steer -43466
44.74 steer -42420
44.75 steer -41886
44.76 steer -41406
44.77 steer -40452
44.78 steer -39759
44.79 steer -39035
44.80 steer -38324
44.81 steer -35679
44.82 steer -33408
44.83 steer -30417
44.84 steer -13431
44.85 steer -11506
44.86 steer -10272
44.87 steer -8440
44.89 steer -7348
44.90 steer -7008
44.92 steer -8148
44.93 steer -10481
44.94 steer -11807
44.95 steer -13337
44.96 steer -14940
44.97 steer -16550
44.98 steer -19387
44.99 steer -20750
45.00 steer -22023
45.01 steer -24459
45.02 steer -25436
45.03 steer -26271
45.04 steer -26924
45.05 steer -27449
45.06 steer -28216
45.08 steer -28695
45.09 steer -28842
45.11 steer -27183
45.12 steer -25346
45.13 steer -23092
45.14 steer -18364
45.16 steer -13616
45.17 steer -11701
45.18 steer -10103
45.19 steer -8798
45.20 steer -6944
45.21 steer -6297
45.22 steer -5807
45.23 steer -5401
45.24 steer -6520
45.25 steer -7970
45.26 steer -9662
45.27 steer -13949
45.28 steer -15951
45.29 steer -17685
45.30 steer -19137
45.31 steer -21355
45.32 steer -22140
45.33 steer -23268
45.35 steer -24027
45.36 steer -24316
45.37 steer -24562
45.38 steer -24757
45.39 steer -24887
45.42 steer -23885
45.43 steer -23433
45.44 steer -22796
45.45 steer -21947
45.46 steer -21020
45.47 steer -18585
45.48 steer -16782
45.49 steer -14183
45.50 steer 0
45.66 steer 1304
45.67 steer 2690
45.68 steer 4096
45.69 steer 6593
45.70 steer 8031
45.71 steer 9291
45.72 steer 10378
45.73 steer 11410
45.74 steer 13981
45.75 steer 15039
45.76 steer 16181
45.77 steer 18096
45.78 steer 18855
45.79 steer 19541
45.80 steer 20091
45.81 steer 20899
45.82 steer 21270
45.83 steer 21608
45.84 steer 22131
45.85 steer 22309
45.86 steer 22454
45.87 steer 22569
45.89 steer 22734
45.94 steer 22965
46.14 steer 22520
46.15 steer 19947
46.16 steer 17922
46.17 steer 15055
46.18 steer 0
46.57 steer -1410
46.58 steer -2765
46.59 steer -4726
46.60 steer -5430
46.61 steer -5981
46.62 steer -6421
46.63 steer -7068
46.64 steer -7291
46.65 steer -7467
46.66 steer -7607
46.67 steer -7720
46.69 steer -7875
46.70 steer -7972
46.72 steer -8125
46.73 steer -8192
46.75 steer -8401
46.76 steer -8492
46.77 steer -8623
46.79 steer -8729
46.84 steer -8857
46.87 steer -8990
46.89 steer -9242
46.90 steer -9474
46.91 steer -9827
46.92 steer -10674
46.93 steer -11071
46.94 steer -11467
46.95 steer -11850
46.96 steer -12183
46.97 steer -12683
46.98 steer -12862
46.99 steer -13006
47.00 steer -13121
47.01 steer -13227
47.02 steer -13387
47.03 steer -13451
47.06 steer -13633
47.09 steer -14190
47.10 steer -14380
47.11 steer -14545
47.12 steer -14690
47.13 steer -14779
47.14 steer -14967
47.18 steer -15224
47.22 steer -15456
47.23 steer -15525
47.27 steer -15692
47.64 steer -15181
47.65 steer -14247
47.66 steer -12447
47.67 steer -7538
47.68 steer -5171
47.69 steer -3162
47.70 steer -1309
47.71 steer 0
47.89 steer -735
47.90 steer -4632
47.91 steer -6146
47.92 steer -7357
47.93 steer -8300
47.94 steer -9596
47.95 steer -10013
47.97 steer -5830
47.98 steer -3208
47.99 steer 0
49.15-49.30 press down
51.11 steer -13555
51.13 steer -17665
51.14 steer -20227
51.15 steer -22750
51.16 steer -25174
51.17 steer -27179
51.18 steer -28768
51.19 steer -31046
51.20 steer -31849
51.21 steer -32984
51.22 steer -33388
51.23 steer -33709
51.24 steer -33979
51.26 steer -33335
51.27 steer -31610
51.28 steer -30486
51.29 steer -28459
51.30 steer -27521
51.31 steer -26534
51.32 steer -25339
51.33 steer -22153
51.34 steer -20376
51.35 steer -18367
51.36 steer -15761
